Référence,Type de bien,Location / Colocation,Loyer location €/mois avec charges,Loyer colocation €/mois,Surface totale m²,€/m²,Nb pièces,Nb chambres,Autres,Commune,Détail Localisation,Note localisation,Etiquette NRJ,Etiquette GES,Coût copro /an,Coût charge /chambre (si coloc) /an,Autres coûts /an,Lien,Description entière annonce,Date publication annonce
61,Appartement,Colocation,365,1095,75,"14,6",4,3,Tout équipé,SAINT-ETIENNE,rue du Général Leclerc,5,,,,900,,https://www.leboncoin.fr/colocations/1899426758.htm,"A louer, bel appartement disposant de 3 chambres. Idéalement situé, rue du Général Leclerc, dans une copropriété de standing, plutôt récente. À proximité de toutes commodités( 2 arrêts de tramways à 2 pas de l'appartement, bus, commerces, accès direct aux écoles...) L'appartement dispose d'une cuisine US, tout équipé avec machine à laver, lave vaisselle, assiettes, ustensiles... Dans le salon vous trouverez un canapé, une table basse, un meuble télé et une télévision écran plat. La salle de bain dispose d'une baignoire et d'un evier avec rangement. Chambre 1 de 9m2, disposant d'un lit simple pouvant se transformer en double (lit gigogne), d'un bureau avec lampe et d'une armoire. Prix : 270€ +75€ de charges (toutes charges comprises) Chambre 2 de 10m2, disposant d'un lit double, d'un bureau avec lampe ainsi que d'une armoire. Prix : 310€ + 75 € de charges (toutes charges comprises) Chambre 3 de 10,5 mètres carrés, disposant d'un lit double, d'un bureau avec lampe et d'un dressing. Prix : 310€ + 75 € de charges (toutes charges comprises) Tous les volets sont électriques. Il n'y a aucune autre charge supplémentaire, tout est compris. ( charges d'entretien des parties communes, ascenseur, chauffage, électricité, eau, internet). Vous n'avez qu'à poser vos valises. Appartement libre de suite. Pour les visites merci de nous contacter au 06 22 47 63 90.",24/12/2020
62,Appartement,Colocation,330,990,65,"15,23076923",4,3,Tout équipé,SAINT-ETIENNE,"Centre commercial, transport en commun et fac disponible a pied -A 5 minutes à pied de centre deux (commerces ouverts jusqu'a 21h30) -A 8 minutes à pied de la fac jean monnet (campus trefilerie) -A 5 minutes à pied de l'arrêt de tram (ligne1)",5,D,D,,840,,https://www.leboncoin.fr/colocations/1899301719.htm,"d'autres infos et photos sur stefroux42.wixsite.com/st-etiennecolocation Je vous propose une chambre, à partir de février 20121 dans une colocation bien située à Saint-Étienne dans un bel appartement entièrement repensé spécifiquement pour une colocation où chacun bénéficie de son propre confort sans gêner les autres. SITUATION GEOGRAPHIQUE L’appartement est situé dans une résidence calme au 4 eme étage sans vis a vis , entourée de verdure, tout proche de centre 2. Centre commercial, transport en commun et fac disponible a pied -A 5 minutes à pied de centre deux (commerces ouverts jusqu'a 21h30) -A 8 minutes à pied de la fac jean monnet (campus trefilerie) -A 5 minutes à pied de l'arrêt de tram (ligne1) Pas besoin de véhicules pour faire les courses ou pour aller à la FAC L’APPARTEMENT CHAMBRE MEUBLEE 3 chambres refaites du sol au plafond avec grand lit 140x190, table et lampe de chevet, bureau et chaise de bureau, lampe de bureau, grand dressing, linge de lit… Chambre fermant à clef pour la sécurité de vos bien et la protection de votre intimité! LA CUISINE Entièrement équipée avec électroménager. Plaques induction, réfrigérateur/congélateur grande capacité, four micro/ondes combi, cafetière, bouilloire, grille-pain, lave-linge séchant, table haute et tabouret, ustensiles de cuisine et vaisselle, fer a repasser et table, aspirateur ​ LE SALON AVEC BALCON (vue dégagé sur le pilat et la ville) vous pourrez bénéficier d’un canapé 3 places avec table basse, d’une TV grand écran, meuble TV et lampadaire. LA SALLE DE BAINS Douche WC séparé. CHARGES 70 euros Comprenant TOUT les frais (eau, électricité, chauffage , charges de l’immeuble, taxe ordure ménagères, INTERNET…) -pas de compteur à ouvrir ou à fermer, pas de contrat à souscrire -pas de frais cachés -pas de frais d’agence -direct propriétaire -pas de comptes à régulariser entre colocataires lors de votre départ ​Tout est compris, vous n’aurez qu’à défaire vos valises. Colocation tout compris et tout confort Idéal pour les étudiants Appartement, mobilier et électroménager refaits à neufs en septembre 2018. ​ Vous bénéficiez d’un bail individuel et donc sans caution solidaire. Vous n'avez pas à trouver de remplaçant quand vous quittez la colocation. ​ ​ 260 euros + 70 euros de charge soit 330 euros / mois. Je réponds à toutes vos questions N’hésitez pas à me joindre au 06 49 82 00 28 ou stetiennecolocation@gmail.com ou de visiter stefroux42.wixsite.com/st-etiennecolocation A très bientôt",24/12/2020
63,Appartement,Colocation,290,1160,95,"12,21052632",5,4,Tout équipé,SAINT-ETIENNE,Carnot,3,B,B,,480,,https://www.leboncoin.fr/colocations/1899220902.htm,"🔑 Mercato d'automne à Saint-Etienne!! 🔑 Colocation T5 95m2 - 1er étage/2 traversant avec 4 chambres - 1 place Girodet - 290€/mois charges comprises - Appart refait à neuf - APL ok - 4 chambres de 15m2 disponible de suite. Arrivez avec vos bagages, vous êtes chez vous! REJOIGNEZ NOUS: - Elise, 24 ans, graphiste freelance INTRO: Julie (30a, étudiante en journalisme) et Alexandre (24a, étudiant en informatique) ont quitté la colocation. Les visitent se font avec Elise ou à distance par Whatsapp (je vous envoie la vidéo de la visite de tout l'appartement via cette application) DISPONIBILITÉS: - 4 chambres libres de suite de 14 à 15m2 = 290€/mois cc L'APPARTEMENT: Petit immeuble au centre de Saint-Étienne (à 1mn du tramway Pl.Carnot) L'immeuble ne compte que 4 appartements sur 2 étages. Il est donc calme et sécurisé (digicode) - Grande hauteur sous plafond dans tout l'appartement et très lumineux (3,70m) - Cuisine équipée et salle à manger (12m2) - Très grand salon (25m2) avec équipement (canapé, table basse, meuble tv, box Internet et TV), sdb et wc indépendant - 3 chambres (15m2, 14m2, 14m2) - Chambres: lit 2 places 140x200, matelas, sommier, 2 oreillers, 1 couette, protège-matelas, rangements, étagères, bureau rabattable, chaises, dressing - VOUS AIMEREZ: arrêt tram ""Place Carnot"", commerces, supermarchés et restaurants sur place Carnot à 2 mn à pieds. - VOUS KIFFEREZ: lave-linge, sèche-linge, bouilloire, plaque à induction, hotte, cuisine US équipée. SITUATION DE L'APPARTEMENT: - Arrêt de tram1 ""Place Carnot"" à 1mn à pieds - Arrêt de tram 2 ""Place Carnot"" à 1mn à pieds - Gare TER Carnot à 2mn à pieds (pour aller à Lyon en 47mn) - Écoles proches: lycée Tezenas du Montcel (en face). IFC, Cité du design, école d'architecture, Telecom, faculté des Sciences et Techniques à 5mn à pieds de l'appartement. - Hôtel de ville à 10mn à pieds. DEPUIS TRAM 1&2 ""PLACE CARNOT"": - Gare Chateaucreux - 15mn - Fac Tréfilerie - 10mn - Cité du design - 1mn - Fac de médecine Jean Monnet - 15mn - Hôpital nord: 10mn - Geoffroy Guichard - 4mn - Hôtel de ville - 4mn LOCATION: - Loyer: 250€/mois - Charges: 40€/mois (Internet/TV, abonnement électricité et gaz, ordures, charges immeuble) - Caution 1 mois de loyer - Frais d'agence: 0€ - Bail individuel (1 mois de préavis pour quitter l'appartement) - Garant éxigé (famille, amis, proches, collègues, boss, VISALE, UNKLE, CAUTIONEO, GARANTME, YOUSE, joker,...) - APL: oui Bref, que vous soyez étudiant ou actif, si vous recherchez un appartement avec un loyer faible comprenant les services et le confort nécessaire, cet appartement est fait pour vous ;-) Contactez moi! 🔵Via la messagerie leboncoin 🔵Via téléphone 🔵Via whatsapp Steve",24/12/2020
64,Appartement,Colocation,385,1155,105,11,4,3,Tout équipé,SAINT-ETIENNE,150m Jean Jaures,5,D,D,,900,,https://www.leboncoin.fr/colocations/1871452494.htm,"Colocation de 3 chambres (2 chambres de disponibles) au calme idéalement situé à seulement 150m de la place Jean Jaurès et du Tram T1 et T2 : - Direct Université Jean Monnet et Faculté de Médecine - Direct gare S-Etienne Chateaucreux - Direct École supérieure d'Art et Design (3 arrêts de tram, 10min à pieds) - Direct Clinique Mutualiste de Bellevue, clinique du Parc. Lumineux, entièrement rénové et meublé, avec une belle hauteur sous plafond au sein d'un immeuble bourgeois. Doubles vitrages à toutes les fenêtres. Adapté à des profils jeunes actifs ou étudiants fin de cursus recherchant de la tranquillité au sein d'une grande chambre privative et d'une colocation confortable avec lia freebox inclus. --> Les 2 chambres disponibles font 21 et 20m2 avec cheminée apparente et les équipements suivants : 1 Lit 140 avec table de nuit et lampe de chevet + 1 bureau + 2 poufs et une table basse, armoire et/ou placards. Les espaces communs : - Une grande entrée aménagée en espace détente avec canapé, pouf, meuble d'appoint et TV - Une spacieuse salle de bain avec double vasque, grande douche à l'italienne et sèche-serviettes - Toilettes indépendants - Cuisine équipée avec tout le nécessaire pour cuisiner et manger (plaque induction, hotte, four, micro-ondes, cafetière, bouilloire) - Buanderie : Lave linge, sèche linge, fer et table à repasser. Loyer hors charge chambre 1 : 300 € / mois Loyer hors charge chambre 2 : 320 € / mois Charges mensuelles : package de 75€ / locataire tout compris (eau, gaz, électricité, freebox, charge immeubles) Caution : 2 mois de loyer hors charge. Pas de frais d'agence. Direct propriétaire. Vidéo de visite de l'appartement sur demande",24/12/2020
65,Appartement,Colocation,370,1480,106,"13,96226415",5,4,Tout équipé,SAINT-ETIENNE,Place Jean Jaures,5,,,,660,,https://www.leboncoin.fr/colocations/1900429261.htm,"Appartement de 4 colocataires dans un T5 de 106m2 situé sur la Place Jean Jaurès, au cœur de Saint-Etienne. (3 étudiantes y sont déjà installées) EMPLACEMENT PRIVILÉGIÉ ET SÉCURISÉ Vous trouverez toutes les commodités au pied de l’immeuble (moins de 1 minute à pied) : - Carrefour Market, Leader Price, - Boulangerie, Pharmacie, Restaurants, Cinéma, etc… Tous les transports en commun sont également au pied de l’immeuble. Les écoles et la faculté sont rapidement accessibles via les transports ou à pied. L’arrêt « Place Jean Jaurès » est à moins de 1 minute à pied de l’immeuble : - Tramway T1 et T2 - Bus ----------------------------- L'APPARTEMENT Situé au 2ème étage, il est entièrement meublé. Toutes les fenêtres et les chambres sont situés à l’arrière de l’immeuble au calme, éloigné du bruit. - Un salon moderne entièrement meublé avec TV - Une cuisine ouverte équipée - 2 salles de bain : une sdb avec douche italienne et une sdb avec baignoire - WC indépendant des sdb. ----------------------------- CHAMBRE La chambre bénéficie d'une belle luminosité et chacune équipée de : Literie complète : matelas 2 places, couette, oreillers – Commode – Portant – Miroir – Grand bureau 1m80 - Chaise de bureau - Lampe de bureau ----------------------------- Loyer : 315€ (+ 55€ charges) Toutes les charges sont incluses : charges de copropriété, d’entretien, chauffage, eau, électricité et d’internet Contactez-nous par téléphone pour convenir d’une visite.",24/12/2020
66,Appartement,Colocation,390,1170,68,"17,20588235",4,3,Tout équipé,GRENOBLE,Quartier caserne de Bonne. Championnet,5,E,D,,,,https://www.leboncoin.fr/colocations/1869320616.htm,Dans un appartement meublé excellent état colocation à trois mixte Bail individuel CENTRE VILLE Quartier caserne de Bonne. Championnet Rue calme proche tout services et commerces Transports. Tram. C. Station fFoch. Ferrié a 5 minutes Tram E. Station. Vallier. Libération a 5 minutes UNE. SPACIEUSE CHAMBRE MEUBLÉE DISPONIBLE à partir du 2 janvier 2021,6/1/2021
67,Appartement,Colocation,485,1940,85,"22,82352941",5,4,"all inclusive ( Assurance Habitation
Internet Fibre
Electricité
Eau
Chauffage
NETFLIX
Imprimante)",GRENOBLE,centre ville proche ppm,5,C,D,,600,,https://www.leboncoin.fr/colocations/1857199595.htm,"Colocation 2 Chambres disponibles avec balcon - Tram A&C - Jardin Adresse : 18 Avenue Général CHAMPON 38100 GRENOBLE Appartement cosy de 85m2 avec BALCON refait à neuf, moderne tout équipé, situé dans copropriété avec jardin et local à vélo. Tram A et commerces au pied de l’immeuble. A quelques pas du centre ville et de la célèbre Caserne de Bonne. VOUS N’AVEZ PLUS QU’A POSER VOS VALISES ET VOUS INSTALLEZ. Bail individuel ALL INCLUSIVE Assurance Habitation Internet Fibre Electricité Eau Chauffage NETFLIX Imprimante CHAMBRES Grand lit 140*200 avec matelas haut de gamme tout équipé Couette+ House+Oreillers+Taies+Drap house Bureau avec lampe Table de chevet avec lampe Armoire-penderie et grand miroir Wifi fibre Smart TV Store électrique avec télécommande Porte sécurisée carte codée avec clé La colocation comprend 4 chambres dont 3 occupées par Laurine, Léo et Robin étudiants Votre Loyer 485+50 charges PARTIES COMMUNES CUISINE Moderne avec verrière entièrement équipée avec toute sa vaisselle et ses ustensiles (couverts, poêle, casserole, faitout…) SALON douillet 2 salles de bains 2 WC 1 grand placard EQUIPEMENTS Lave vaisselle Plaques de cuisson induction Réfrigérateur congélateur Cafetière Bouilloire Micro-onde Service à raclette Fer & table à repasser Aspirateur Lave linge Sèche cheveux Etendages ... EMPLACEMENT OPTIMUM CENTRE VILLE 5min à pieds ou 1min TRAM A Boulangerie Pâtisserie Au pied de l’immeuble Carrefour City, SPAR, Picard 1min à pieds PHARMACIE 3min à pieds CASERNE DE BONNE 8min à pieds GARE 12min TRAM A DOMAINE UNIVERSITAIRE 10min TRAM A GEM (Ecole de Commerce) IUT 12min TRAM A HOPITAL CHU 22 min TRAM A, B, BUS C1 PROCHE TOUS TRANSPORT Parking couvert Caserne de Bonne 5min à pieds Parking couvert Hoche 8min à pieds Tram Au pied de l’immeuble A et C Bus : Ligne 16, C1, C4, EXP1 et 602O 5min à pieds Vélo : Station Métro Vélo 10min LOISIRS Cinéma CHAVANT 5min à pieds Bibliothèque Municipale 5min à pieds Parc Paul Mistral 5min à pieds Musée de Grenoble 15min à pieds La Bastille 20min à pieds ou 8min TRAM A La Belle Electrique, Le SUMMUM, Le Palais des Sports, Le Stade des Alpes, La MC2 Nos amis les animaux ne sont pas admis. Pour le confort de tous Il est interdit de fumer dans l'appartement Afin vous accueillir au mieux merci de nous envoyer une description de votre profil (salariés, étudiants…) et d 'indiquer votre garant.",6/1/2021
68,Appartement,Colocation,340,1360,76,"17,89473684",5,4,Tout équipé,GRENOBLE,"13 rue Charles Rivail, 38100 Grenoble.",4,D,D,,720,,https://www.leboncoin.fr/colocations/1906667356.htm,"Bonjour, Loue chambre dans un appartement situé au 13 rue Charles Rivail, 38100 Grenoble. L’appartement vient tout juste d’être refait (fin des travaux : juin 2020). Colocation de 4 personnes dans un appartement lumineux avec vue sur une cour arborée. 3 chambres sont déjà occupées, il en reste 1. Cette chambre, meublée à neuf en août 2020, comprend : un lit simple (avec matelas de qualité, oreiller, couette et draps), un bureau avec lampe et chaise confortable, un fauteuil, une télé écran plat, un grand placard et plusieurs autres rangements. Il y a tout ! Vous n’avez vraiment plus qu’à poser vos valises. Conviendrait parfaitement à un étudiant ou jeune travailleur. Loyers : 340 Euros + 60 Euros de charges = 400 € tout compris ! (eau chaude et froide, électricité, chauffage, internet et taxe d'ordures ménagères) Vous signerez un bail individuel, sans clause abusive de solidarité entre colocataires (ça aussi c’est un plus). APL possibles. Pistes cyclables en bas de l’immeuble. Autres moyens de transport facilement accessibles. Pour aller : - Campus Université Grenoble Alpes : le bus C5 passe devant l’immeuble, et vous êtes à 5 min à pied du tram D. 10 min à vélo ou 30 min à pied. - Polytech Grenoble : 5 min à vélo ou 10 min à pied. - Centre ville de Grenoble : 10 min à vélo ou 30 min à pied. - Tram A : arrêts Mounier (pour remonter direction gare) ou MC2 (pour descendre direction Grand Place) à moins de 20 min à pied. Plusieurs commerces sont à 2 min à pied : boulangerie, pharmacie, Carrefour Contact. Ainsi que le Marché de l’Abbaye sur la place de la Commune de 1871 (du mardi au vendredi de 7h à 13h. Samedi et dimanche jusqu'à 13h30). Ce que vous verrez si vous venez visiter : un appartement propre et agréable. Il n’y a pas de salon en tant que tel (un plus : ça fait moins de ménage à se diviser entre colocs), mais les chambres sont spacieuses et vous permettront de vous y retrouver ensemble si vous le souhaitez. Salle de bain et toilettes refaites à neuf. A l’entrée, sur votre droite, la cuisine (entièrement équipée, il y a vraiment tout : machine à laver/sèche-linge, lave-vaisselle, frigo, four, micro-ondes, vaisselle, casseroles et plats, bouilloire, cafetière...) avec table à manger, puis une loggia attenante (avec rangements et de quoi faire le ménage : aspirateur, balais, serpillière, seau). A l’entrée, à gauche, une première chambre (prise). A droite de cette première chambre, le couloir avec à gauche une 2e chambre (prise). A droite dans le couloir : les toilettes (WC suspendus) ; puis la salle de bain avec grande douche à l’italienne, neuve ; puis une 3e chambre (12m2) - c’est celle qui est libre. Au bout, la 4e chambre (prise). Il y a un garage à vélo, et vous avez également accès à la cave de 4m2. Si vous avez envie de vous installer dans une chambre et un appart tout fourni tout confort, où vous n’aurez rien de plus à payer, contactez moi au 06 74 02 87 84. PS: We speak English, if needed.",6/1/2021
69,Appartement,Colocation,390,1170,65,18,4,3,Tout équipé,GRENOBLE,199 cours de la libération 38100 Grenoble.,2,,,,600,,https://www.leboncoin.fr/colocations/1854707119.htm,"Il reste 1 chambre dans colocation entièrement équipée, meublée et rénovée. 199 cours de la libération 38100 Grenoble. 🏘️ Appartement au 6ème étage sur 8 avec ascenseur, traversant E/O, balcon côté ouest. Accès via badge VIGIK. 🏔️Vue sur massif du Vercors, Belledonne et Mt Blanc (quand le ciel est dégagé) . 🚌 Bus (12,25,C2,C6) devant la copropriété desservant directement le centre ville et le campus universitaire (< 20min). 🚋 Tram situé à 600m. 🚗 Stationnement gratuit. Sortie rocade sud à 5min. L'appartement de 65m² refait à neuf avec balcon est composé de: - 🛌🏼la chambres 11m² Clé individuelle par chambre Literie 140cm + draps + couette + oreillers Bureau + lampe TV murale Commode Penderie - 📺Salon meublé Canapé Fauteuil TV murale 138cm Table à manger et chaises Table basse Halogène - 🍽 Cuisine entièrement équipée Réfrigérateur-congélateur Plaque vitrocéramique Lave vaisselle Hotte Four chaleur tournante Lave-linge séchant Micro-onde Vaisselle et ustensiles de cuisine Mange debout et tabouret - 🛀 Salle d'eau Douche type italienne Meuble sous vasque 100cm + miroir éclairé Sèche serviette - WC séparé Vous n'avez plus qu'à venir avec vos valises, vous installer et vivre dans la bonne humeur avec Rodolphe étudiant de 23 ans sur Echirolles et Paloma étudiante de 18 ans. Loyer mensuel de 440€ CC (390€HC + 50€ de provision pour charge). Abonnement Fibre, Electricité, Eau, Chauffage inclus dans les charges. Charte de bonne conduite permettant une vie en collectivité à signer. Charte basée principalement sur le respect des zones communes (salon, cuisine, WC, SdB), pas de tabac, respect du sommeil des colocataires, pas d'animaux. Bail individuel sans clause de solidarité. Chaque colocataire peut librement quitter après 1 mois de préavis. Eligible aux aides au logement de manière individuelle. Caution fixée à 2 mois de loyer HC soit 780€. Pas de frais d'agence ni de surfacturation pour l'état des lieux d'entrée. Pas besoin de garant si garantie VISALE Contact initial avec : Votre Nom et Prénom, Votre situation. Si étudiant, préciser année et scolarité suivi. Si actif préciser profession et lieu. Date d’entrée souhaitée Si éligible à la garantie VISALE",6/1/2021
70,Appartement,Colocation,410,1230,74,"16,62162162",4,3,Tout équipé,GRENOBLE,100m de GEM,5,C,D,,600,,https://www.leboncoin.fr/colocations/1884911170.htm,"Bonjour, Une chambre de 12 m² se libère dans cette colocation en janvier. Venez compléter la fine équipe composée de Bilal (27 ans ingénieur), d'Paula (27 ans étudiante). Très bel appartement au 7e étage de 3 chambres avec grands balcons (chaque chambre a un grand balcon), et superbe jolie vue montagnes, et nombreux commerces à proximité (Casino, boucherie, boulangerie, tabac, Pizzeria, primeur, fromagerie) Tram ligne A et B – arrêt Saint Bruno ou arrêt Palais de justice 2 minutes à pied de la gare et GEM Surface totale : 73.4 m²+ 2 grands balcons de 9.5 m² et 6.62 m². Avec ascenseur et gradien, entrée sécurisée par badge, la conciergerie, local vélo Trois chambres avec literie, bureau, chaise et rangements Loyer mensuel : 1230€/mois + 150€ de charges par mois, soit 410€ +50€ / mois/personne Cuisine équipée neuve : four, plaque de cuisson, frigo, congélateur, micro-ondes, hotte, lave-linge, lave-vaisselle, ustensiles de cuisine, vaisselle et couverts. 1 table à manger et des tabourets. Salle de bains (baignoire) et 1 WC indépendant et puis 1 WC dans la salle de bain Les prix ci-dessus sont inclus les charges de copropriété, chauffage collectif, l’eau froide, et l’eau chaude, non compris internet/électricité. Possibilité Allocation logement. La chambre sont disponible immédiatement. Pour toutes questions et/ou informations complémentaires merci de contacter le 06 07 57 54 15",6/1/2021
71,Appartement,Colocation,340,1020,69,"14,7826087",4,3,Tout équipé,GRENOBLE,3 rue général ferrié a grenoble.,4,B,B,,360,,https://www.leboncoin.fr/colocations/1906632415.htm,"Appartement avec 3 chambres situé au 3 rue général ferrié a grenoble. 2ème étage avec ascenseur. Refait entièrement a neuf en 2018. L’appartement possède un balcon, et donne sur la cour intérieur très calme). Dans résidence calme et sécurisée (portail avec digicode + interphone) Garage à vélo A 100 m de la ligne de tram C direct campus (10mn) Proche de toutes commodités: Intermarché, caserne de bonne, boulangerie, tabac, pharmacie, kebab, pizza... L’appartement à entièrement été refait en 2018: carrelage, peinture, électricité, cuisine, fenêtre, chauffage... Cuisine ouverte sur le salon La cuisine est entièrement équipée: frigo, congélateur, four, hotte, vitro, micro-onde. Il est loué avec tous les ustensiles de cuisines: assiettes, verres, tasse, bols, couverts, poêles, casseroles, saladier, tire-bouchon... Les 3 chambres ont un grand dressing (2m70 de large!). Elles donnent également coté cour intérieure, au calme. Double vitrage, parquet, placard, radiateur basse consommation programmable. Chaque chambre est équipée d’un lit, sommier, matelas, bureau et chaise. La salle de bain est constituée d’une douche a l’italienne, d’une machine a laver, d’une vasque, de rangements, et d’un sèche serviette. L’appartement consommera peu d’électricité: radiateur neuf nouvelle génération avec programmateur, double vitrage. A visiter Prix: (340 + 10 € de charges de copro) par chambre Prévoir 5 € pour l’eau et 15 € pour l’électricité. Disponible de suite",6/1/2021
72,Appartement,Colocation,490,1470,88,"16,70454545",4,3,Tout équipé,GRENOBLE,2 bd Joseph Vallier - 38100 Grenoble,4,D,D,,,,https://www.leboncoin.fr/colocations/1899112132.htm,"Colocation reste 1 chambre à occuper entièrement meublée à partager dans un appartement 4 pièces de 88 m2. Libre immédiatement. Idéal pour jeunes actifs(ves) ou étudiants(es). Au 2 bd Joseph Vallier - 38100 Grenoble. Dans une copropriété sécurisée et fermée, au 2ème étage, avec ascenseur, entièrement meublé et refait à neuf, l'appartement est composé : - d'un hall d'entrée ; - d'un séjour avec télévision , canapé convertible, table basse et pouf - de deux chambres Déjà OCCUPES - d'une chambre 27M2 avec placard mural , table de chevet, bureau ,chaise; - d'une cuisine entièrement équipée (donnant sur le balcon loggia) avec lave-vaisselle ,lave linge ,four , frigo, congélateur et micro onde - d'une belle salle de bain avec cabine de douche et porte serviette ; - d'un toilette séparés ; Idéalement situé à 5 min du centre ville de Grenoble, à 15min du campus en tram, à 10 min à pied de GEM , à proximité de nombreux commerces (supermarché, banque, poste, boulangerie, pharmacie...), proche de la Clinique Mutualiste et de la Gare routière de Grenoble, des transports en communs Tram C ET E. Chauffage individuel gaz. Loyer mensuel : 490 €/par chambre (électricité et gaz ,eau compris). Dépot de garantie : 900 € J'utilise Whatsapp. Vous pouvez proposer un appel vidéo pour visiter le logement.",6/1/2021
73,Appartement,Colocation,400,1200,70,"17,14285714",4,3,Tout équipé,GRENOBLE,arrêt Vallier - Docteur Calmette.,4,E,C,,960,,https://www.leboncoin.fr/colocations/1906603421.htm,"Location d'une chambre sur le Boulevard Joseph Vallier à Grenoble, Tram C au pied du bâtiment - arrêt Vallier - Docteur Calmette. L'appartement est un T4 de 70 m² au 8ème étage avec ascenseur. il est rénové, tout équipé et traversant nord/sud avec vue imprenable sur les montagnes. Il comprend : • CUISINE : 2 frigo-congélateur, lave-vaisselle, rangements, plaque à gaz, four, four micro-onde, hotte aspirante, cafetière, ustensiles de cuisine, vaisselle ; • WC séparé ; • SALLE DE BAIN : vasque, douche, rangement, miroir, lave linge, sèche-serviette • SALON : canapé, table basse relevable, TV, buffet, pouf, chaises • 3 CHAMBRES 1 de 9m² (voir Photo) et 2 de 10m² : lit 140X200, couette, oreillers, placard mural, bureau, lampe, miroir • local à vélo, cave. Tous commerces à proximité : - Boulangerie : en bas du bâtiment - Banques : Caisse d’épargne en face du bâtiment, CIC en bas du bâtiment - Tabac : 100m - Petit casino : 150m - Pharmacie : 150m - Tram C : direction SAINT-MARTIN-D'HERES, LES TAILLEES - UNIVERSITES à 15 Minutes - Autoroute par pont de Catanne à moins de 5 minutes - Gare : 10 minutes en Vélo - 20 minutes à pied Chaque colocataire bénéficie de ce confort pour un loyer hors charges de 400€/mois auxquelles s’ajoutent 80€ de charges par mois, soit 480€ CC/mois. Les charges comprennent les charges locatives, eau, électricité, chauffage, assurance habitation, internet-WIFI par la fibre. nous sommes actuellement 2 dans l'appartement, 1 chambre sera de disponible courant janvier. Bail individuel APL possible. Caution : 1 mois de loyer HC. Si vous êtes intéressé ou si vous voulez plus d'information, n’hésitez pas à me contacter au 06 09 79 39 45",6/1/2021
74,Appartement,Colocation,440,1760,100,"17,6",6,4,Tout équipé,GRENOBLE,34 rue de Stalingrad,4,A,A,,720,,https://www.leboncoin.fr/colocations/1906587857.htm,"Bonjour, Si vous cherchez une colocation haut de gamme, calme, et bien situé, cet appartement traversant de 100m² au 6eme étage est fait pour vous !!! Situé au 6eme étage avec ascenseur, il est très lumineux et vous offrira une magnifique vue sur les montagnes. Entièrement meublé et équipé, la rénovation est récente et de qualité. Pour information, l’appartement est disponible à partir de mi-janvier. Idéalement placée : 34 rue de Stalingrad, à deux pas des commerces (Auchan, Intermarché, boucheries, boulangeries, fast food), du tram (3 min) et de l’hypercentre (13min). Des places de parking sont disponible juste devant l’immeuble et dans les rue adjacentes. Accès rapide et facile aux universités, autoroutes, parcs et centres commerciaux. Vous aurez également accès à un garage à vélo sécurisé situé dans la résidence, ainsi qu’à une cave pour stocker les ski, valises, etc. Dès l’entrée dans l’appartement, vous arriverez sur le couloir central où vous y trouverez un placard encastré avec dressing et des espaces de rangement. Ce couloir donne accès à toutes les pièces de l’appartement à savoir : • Une cuisine toute équipée avec véranda, frigo américain, machine à café, blender, lave-vaisselle, four, etc … • Le salon de 17m² avec vidéoprojecteur, console de jeu (Xbox one S), barre de son, climatisation réversible, canapé convertible pour les éventuels invités, etc … • Une salle de bain avec douche à l’italienne et sèche serviette • 4 chambres cosy à la décoration actuelle avec lit double, bureau, serviettes de toilette et de nombreux rangements (dont une avec balcon de 2,1m²) Le logement est entièrement meublé et équipé : Lave-linge, sèche-linge, vidéoprojecteur, télé HD canapé convertible, frigo américain avec distributeur d'eau et glaçons, robot aspirateur, lit double avec literie de qualité, four, micro-ondes, vaisselle fournie... Il vient d’être refait à neuf. Pour encore plus de confort, une personne passera 1h par semaine pour faire le ménage des pièces communes (couloir, salon, salle de bain, cuisine) Cet appartement conviendra parfaitement aux étudiants et jeunes actifs qui cherchent du calme, du confort et la proximité géographique. Concernant les loyers : Chambre 1 (16m²) : 455€ HC Chambre 2 (14,5m² + un balcon) : 465€ HC Chambre 3 (12m²) : 440€ HC Chambre 4 (12m²) : 440€ HC Les charges s’élèvent à 60€ par personne comprenant : • L’eau • L’électricité (incluant l’utilisation de la climatisation) • Le gaz • Internet • Le ménage • L’abonnement à Netflix L’appartement est entièrement équipé en termes de mobilier et de services, il n'y a plus qu'à poser vos valises ! Les premières visites pourront avoir lieu à partir du 4 Janvier. En attendant, si vous le souhaitez, je peux vous faire parvenir d’autres photos ainsi qu’un montage vidéo présentant l’appartement. Conditions minimums d’acceptation des dossiers : • Un garant (ex : parents) gagnant au moins 3 fois le loyer HC • Une caution de 2 mois de loyer HC Le logement est éligible à une aide financière au logement auprès de la CAF (APL).",6/1/2021
